Id,FirstName,LastName,Email,Department
1,Robert,Goodman,robert.Goodman@example.com,Mathematics
2,Linda,Jackson,linda.jackson@example.com,Physics
3,James,Smith,james.smith@example.com,Biology
4,Walter,White,walter.white@example.com,Chemistry
5,William,Harris,william.harris@example.com,Computer Science
6,Barbara,Martin,barbara.martin@example.com,History
7,Charles,Thompson,charles.thompson@example.com,English
8,Elizabeth,Garcia,elizabeth.garcia@example.com,Economics
9,Joseph,Martinez,joseph.martinez@example.com,Philosophy
10,Mary,Robinson,mary.robinson@example.com,Engineering
