Id,FirstName,LastName,Email,StudentId
1,John,Smith,john.smith@example.com,BS001
2,Jane,Brown,jane.brown@example.com,BS002
3,Michael,Johnson,michael.johnson@example.com,BS003
4,Emily,Williams,emily.williams@example.com,BS004
5,David,Jones,david.jones@example.com,BS005
6,Indiana,Jones,indiana.jones@example.com,BS006
7,Chris,Tyson,chris.tyson@example.com,BS007
8,Ashley,Lee,ashley.lee@example.com,BS008
9,Matthew,Garcia,matthew.garcia@example.com,BS009
10,Amanda,Martinez,amanda.martinez@example.com,BS010
