Id,FirstName,LastName,Email,Department
1,Robert,Anderson,robert.anderson@example.com,Mathematics
2,Linda,Thomas,linda.thomas@example.com,Physics
3,James,Jackson,james.jackson@example.com,Chemistry
4,Patricia,White,patricia.white@example.com,Biology
5,William,Harris,william.harris@example.com,Computer Science
6,Barbara,Martin,barbara.martin@example.com,History
7,Charles,Thompson,charles.thompson@example.com,English
8,Elizabeth,Garcia,elizabeth.garcia@example.com,Economics
9,Joseph,Martinez,joseph.martinez@example.com,Philosophy
10,Mary,Robinson,mary.robinson@example.com,Engineering
