Id,FirstName,LastName,Email,DateOfBirth
1,John,Doe,john.doe@example.com,2002-05-14
2,Jane,Smith,jane.smith@example.com,2001-11-23
3,Michael,Brown,michael.brown@example.com,2003-02-10
4,Emily,Johnson,emily.johnson@example.com,2002-08-30
5,David,Williams,david.williams@example.com,2001-03-17
6,Sarah,Jones,sarah.jones@example.com,2002-12-05
7,Chris,Miller,chris.miller@example.com,2003-07-21
8,Ashley,Davis,ashley.davis@example.com,2001-09-12
9,Matthew,Garcia,matthew.garcia@example.com,2002-04-28
10,Amanda,Martinez,amanda.martinez@example.com,2003-01-19
